City,StateProvinceName,CountryRegionName,PostalCode,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AgeInYears,BikeBuyer,AvgMonthSpend
Leeds,England,United Kingdom,LE18,Partial College,Skilled Manual,M,S,0,1,0,0,54394,37,1,51.43
Glendale,California,United States,91203,Bachelors,Clerical,M,M,1,1,0,2,78158,26,0,50.03
Bellflower,California,United States,90706,Partial College,Manual,M,M,1,0,1,1,33439,37,1,52.24
Victoria,British Columbia,Canada,V8V,High School,Skilled Manual,M,S,1,1,0,0,53516,41,0,54.12
Lemon Grove,California,United States,91945,Partial College,Management,F,S,0,1,0,0,109494,17,0,53.1
Darlinghurst,New South Wales,Australia,2010,Partial High School,Manual,M,M,0,1,0,1,32888,25,0,45.81
Roubaix,Nord,France,59100,High School,Manual,F,M,1,1,1,2,34925,64,1,49.21
Burlingame,California,United States,94010,Graduate Degree,Professional,M,S,1,2,0,0,128989,37,1,55.97
National City,California,United States,91950,Partial College,Skilled Manual,F,M,0,2,0,0,57167,18,0,48.18
Spokane,Washington,United States,99202,Graduate Degree,Clerical,M,S,0,3,0,0,78977,31,1,53.79
Burbank,California,United States,91502,High School,Manual,M,S,0,1,0,0,31943,18,1,47.46
Hobart,Tasmania,Australia,7001,Partial College,Skilled Manual,F,M,1,1,1,2,61802,50,0,52.89
London,England,United Kingdom,SE1 8HL,Bachelors,Manual,F,M,1,1,2,2,30615,53,1,47.26
Redmond,Washington,United States,98052,High School,Skilled Manual,F,S,1,1,0,0,53597,48,0,52.83
Port Macquarie,New South Wales,Australia,2444,Bachelors,Skilled Manual,M,S,0,1,0,0,53819,22,1,49.83
Birmingham,England,United Kingdom,B29 6SL,Bachelors,Clerical,F,S,1,2,0,0,83331,38,0,52.17
Olympia,Washington,United States,98501,High School,Clerical,M,M,0,1,0,0,77738,20,0,50.03
Darlinghurst,New South Wales,Australia,2010,Bachelors,Management,F,M,1,3,0,0,107041,25,0,50.97
W. York,England,United Kingdom,BD1 4SJ,Graduate Degree,Professional,M,M,1,2,0,0,137646,27,0,52.16
Paris,Seine (Paris),France,75016,High School,Manual,F,M,0,0,0,0,32308,20,1,46.43
Santa Cruz,California,United States,95062,Graduate Degree,Clerical,M,M,1,1,1,1,77888,37,1,53.14
Beverly Hills,California,United States,90210,Graduate Degree,Professional,F,M,1,2,1,2,131538,62,1,55.58
Hobart,Tasmania,Australia,7001,Bachelors,Management,M,S,0,0,0,0,109138,23,1,55.61
National City,California,United States,91950,Graduate Degree,Professional,M,M,1,2,1,2,130932,60,1,53.27
Matraville,New South Wales,Australia,2036,Bachelors,Management,F,S,1,1,0,0,106232,32,0,55.85
Bellflower,California,United States,90706,Graduate Degree,Manual,M,M,0,1,1,2,33324,26,1,47.34
Concord,California,United States,94519,Partial College,Skilled Manual,F,M,1,0,0,2,59865,40,0,48.49
Ingolstadt,Bayern,Germany,85049,Partial High School,Skilled Manual,F,M,1,1,1,2,59774,41,1,49.75
Wollongong,New South Wales,Australia,2500,High School,Manual,M,S,0,0,0,0,25963,39,0,46.94
Redmond,Washington,United States,98052,Graduate Degree,Management,F,M,1,3,0,2,106595,25,0,51.34
Werne,Nordrhein-Westfalen,Germany,59368,Bachelors,Clerical,F,M,1,0,1,2,85012,34,1,49.62
Esher-Molesey,England,United Kingdom,EM15,Partial College,Clerical,F,M,1,1,0,2,76821,39,0,49.87
Les Ulis,Essonne,France,91940,High School,Skilled Manual,F,S,0,0,0,0,55024,27,1,48.71
Berkeley,California,United States,94704,Bachelors,Clerical,M,M,1,2,1,2,84725,56,1,52.18
Glendale,California,United States,91203,Graduate Degree,Professional,M,M,1,2,2,2,129697,64,1,55.4
Colombes,Hauts de Seine,France,92700,High School,Skilled Manual,F,S,0,1,0,0,51637,23,0,47.74
Lavender Bay,New South Wales,Australia,2060,Bachelors,Clerical,F,M,1,2,1,2,87148,38,1,51.3
Kirkby,England,United Kingdom,KB9,Partial High School,Skilled Manual,F,S,0,0,0,0,55069,31,1,51.55
Townsville,Queensland,Australia,4810,High School,Clerical,F,S,0,2,0,0,76597,24,0,52.12
Lancaster,England,United Kingdom,LA1 1LN,Partial High School,Skilled Manual,M,S,0,1,0,0,59538,32,1,54.04
Lebanon,Oregon,United States,97355,Bachelors,Clerical,F,S,0,3,0,0,79805,34,1,51.74
Cloverdale,South Australia,Australia,6105,Partial College,Management,F,S,0,2,0,0,101999,19,1,55.19
Esher-Molesey,England,United Kingdom,EM15,Bachelors,Clerical,F,M,1,1,1,2,82220,37,1,54.28
München,Hamburg,Germany,80074,High School,Manual,F,M,1,1,1,2,33459,47,0,50.74
Cloverdale,South Australia,Australia,6105,Graduate Degree,Management,F,M,1,2,0,0,105672,27,1,51.64
Victoria,British Columbia,Canada,V8V,Bachelors,Manual,F,M,0,1,1,2,29042,33,0,47.12
Burlingame,California,United States,94010,High School,Clerical,M,S,0,2,0,0,80609,21,1,49.86
Orly,Val de Marne,France,94310,Partial High School,Skilled Manual,F,M,1,1,1,2,57305,49,1,50.32
N. Vancouver,British Columbia,Canada,V7L 4J4,High School,Clerical,M,M,1,2,1,2,79511,45,1,51.4
Burlingame,California,United States,94010,Bachelors,Professional,F,S,1,3,0,0,129645,34,1,54.1
Brisbane,Queensland,Australia,4000,Partial College,Skilled Manual,M,S,1,1,1,1,57527,49,1,50.51
Lille,Nord,France,59000,High School,Skilled Manual,F,S,0,1,0,0,51183,20,0,48.32
San Gabriel,California,United States,91776,Graduate Degree,Skilled Manual,F,S,0,1,0,0,53830,37,0,52.76
Mill Valley,California,United States,94941,High School,Manual,F,S,0,1,0,0,35797,35,0,47.43
Essen,Hamburg,Germany,45001,Graduate Degree,Professional,F,M,1,3,0,2,131341,35,1,51.53
Goulburn,New South Wales,Australia,2580,High School,Skilled Manual,M,M,1,1,0,1,51338,45,0,48.87
Renton,Washington,United States,98055,Bachelors,Skilled Manual,F,M,0,1,0,1,60219,28,1,48.16
Oak Bay,British Columbia,Canada,V8P,Partial College,Clerical,F,S,0,0,0,0,80570,20,1,53.99
Chula Vista,California,United States,91910,Partial College,Clerical,F,M,1,0,1,2,82479,39,1,53.47
Oregon City,Oregon,United States,97045,High School,Manual,F,M,1,0,2,2,30017,45,1,47.35
Santa Monica,California,United States,90401,Bachelors,Skilled Manual,M,M,0,1,0,0,56150,18,0,48.58
Redmond,Washington,United States,98052,Partial College,Skilled Manual,M,M,1,1,1,2,54322,31,1,51.91
Corvallis,Oregon,United States,97330,Partial College,Skilled Manual,M,M,0,0,0,0,53669,22,0,48.9
Townsville,Queensland,Australia,4810,Bachelors,Clerical,F,M,1,2,1,2,79213,37,1,50.72
Coffs Harbour,New South Wales,Australia,2450,Partial High School,Skilled Manual,M,S,1,0,0,0,55092,42,1,57.83
Paris,Seine (Paris),France,75010,Partial College,Clerical,M,S,0,0,0,0,85784,19,1,54.56
Paris,Seine (Paris),France,75002,Bachelors,Clerical,F,M,1,3,2,2,83086,32,1,52.45
Haney,British Columbia,Canada,V2W 1W2,Graduate Degree,Management,M,M,1,1,0,1,108107,30,1,59.79
Colma,California,United States,94014,Graduate Degree,Professional,F,S,1,2,0,0,131017,32,1,54.63
Cliffside,British Columbia,Canada,V8Y 1L1,Partial High School,Skilled Manual,F,S,0,0,0,0,61704,18,0,51.26
Colomiers,Garonne (Haute),France,31770,Partial High School,Skilled Manual,M,S,0,0,0,0,56245,25,1,50.19
Findon,South Australia,Australia,5023,Graduate Degree,Manual,F,M,0,0,1,2,34723,27,1,49.9
Long Beach,California,United States,90802,Partial College,Skilled Manual,F,S,0,0,0,0,52606,22,1,47.56
Beaverton,Oregon,United States,97005,High School,Clerical,F,S,1,1,0,0,87023,36,0,52.83
Palo Alto,California,United States,94303,Partial College,Clerical,M,M,0,2,0,0,80396,16,1,50.31
Lynnwood,Washington,United States,98036,Graduate Degree,Skilled Manual,M,S,0,0,0,0,60436,30,0,55.94
Burlingame,California,United States,94010,Bachelors,Professional,M,M,1,2,1,2,137045,34,1,56.09
Saarbrücken,Saarland,Germany,66001,Bachelors,Management,M,M,1,3,0,0,107403,31,1,55.87
Redmond,Washington,United States,98052,High School,Manual,M,S,0,1,0,0,26949,42,0,47.99
London,England,United Kingdom,SW1P 2NU,Bachelors,Clerical,F,M,1,1,1,2,81106,30,1,53.79
Lebanon,Oregon,United States,97355,High School,Skilled Manual,M,M,0,1,0,1,59881,25,0,49.14
Stoke-on-Trent,England,United Kingdom,AS23,High School,Skilled Manual,F,S,0,0,0,0,57519,28,1,49.94
Edmonds,Washington,United States,98020,Graduate Degree,Manual,M,S,0,0,0,0,26593,23,0,49.77
Bonn,Hamburg,Germany,53131,Partial College,Management,F,S,1,1,1,1,105425,54,0,55.01
Frankfurt am Main,Saarland,Germany,60061,Partial High School,Manual,F,S,0,1,0,0,28842,30,0,49.58
High Wycombe,England,United Kingdom,HP10 9QY,Bachelors,Skilled Manual,M,S,1,1,0,1,55016,55,1,50.66
Versailles,Yveline,France,78000,Partial High School,Manual,M,S,0,1,0,0,30125,30,0,54.43
Gateshead,England,United Kingdom,GA10,Partial College,Skilled Manual,M,S,0,0,0,0,51343,36,1,53.71
National City,California,United States,91950,Partial High School,Manual,F,S,0,0,0,0,34611,41,0,48.68
Sooke,British Columbia,Canada,V0,Partial College,Skilled Manual,F,M,1,1,1,2,60312,41,1,48.88
Long Beach,California,United States,90802,High School,Skilled Manual,F,M,1,1,0,2,54347,41,0,48.06
Corvallis,Oregon,United States,97330,Partial College,Clerical,M,S,1,1,0,0,83446,48,1,55.35
Lincoln Acres,California,United States,91950,Graduate Degree,Professional,F,M,1,2,0,0,127426,23,1,52.21
Downey,California,United States,90241,Bachelors,Professional,F,S,1,2,0,0,131670,32,1,51.63
Findon,South Australia,Australia,5023,Partial High School,Skilled Manual,M,S,1,0,0,0,51183,48,1,52.76
Burien,Washington,United States,98168,High School,Skilled Manual,F,M,1,2,1,2,59744,43,1,51.48
Offenbach,Saarland,Germany,63009,Bachelors,Management,F,M,1,2,2,2,104382,50,1,50.68
Woodland Hills,California,United States,91364,Bachelors,Clerical,F,M,1,1,1,2,81831,54,0,53.56
Bluffton,South Carolina,United States,29910,Graduate Degree,Professional,F,S,1,0,0,0,129086,28,1,54.96
Matraville,New South Wales,Australia,2036,Bachelors,Manual,M,M,0,0,1,2,32707,26,1,47.92
Sedro Woolley,Washington,United States,98284,Partial College,Clerical,M,M,0,2,0,0,81127,19,0,50.15
Coronado,California,United States,92118,Bachelors,Skilled Manual,M,M,1,2,1,1,53787,33,1,55.56
Ballard,Washington,United States,98107,Bachelors,Manual,M,M,0,0,1,1,35378,25,1,46.04
Shawnee,British Columbia,Canada,V8Z 4N5,Partial College,Manual,M,S,0,0,0,0,26818,22,0,49.04
Roubaix,Nord,France,59100,Bachelors,Clerical,M,S,0,1,0,0,87517,29,0,54.65
West Covina,California,United States,91791,Bachelors,Skilled Manual,M,M,1,2,1,1,58307,32,1,58.96
Salem,Oregon,United States,97301,Partial College,Manual,F,M,1,0,2,2,26070,44,0,47.24
East Brisbane,Queensland,Australia,4169,Bachelors,Management,M,S,1,0,0,1,110529,53,1,52.77
Long Beach,California,United States,90802,Graduate Degree,Clerical,F,S,1,0,0,0,79968,38,1,52.83
Burnaby,British Columbia,Canada,V3J 6Z3,Graduate Degree,Skilled Manual,M,M,0,1,2,2,58057,28,1,50.12
La Jolla,California,United States,92806,Graduate Degree,Skilled Manual,F,S,0,2,0,0,61284,39,1,52.79
Milton Keynes,England,United Kingdom,MK8 8DF,Partial High School,Manual,F,S,0,0,0,0,33216,22,0,47.13
Darmstadt,Hessen,Germany,64283,Partial College,Clerical,M,S,0,0,0,0,87237,26,0,50.85
Beaverton,Oregon,United States,97005,High School,Manual,M,S,1,0,0,0,28405,46,0,50.81
Port Macquarie,New South Wales,Australia,2444,Bachelors,Manual,M,M,1,1,1,2,37205,36,1,54.41
Chula Vista,California,United States,91910,Partial College,Clerical,M,S,1,3,0,0,82543,46,0,53.95
Victoria,British Columbia,Canada,V8V,Partial College,Clerical,F,S,0,2,0,0,86989,29,1,52.93
Marysville,Washington,United States,98270,Graduate Degree,Management,F,M,1,3,1,2,112109,55,1,54.99
Yakima,Washington,United States,98901,Bachelors,Management,M,S,1,2,1,1,107464,55,1,51.56
Drancy,Seine Saint Denis,France,93700,Partial High School,Manual,M,S,0,1,0,0,26372,23,0,47.03
Royal Oak,British Columbia,Canada,V8X,Graduate Degree,Professional,M,S,1,2,0,0,128135,30,1,56.42
Townsville,Queensland,Australia,4810,Partial College,Clerical,F,S,1,1,0,0,78224,40,0,53.43
Burien,Washington,United States,98168,Bachelors,Skilled Manual,M,S,0,0,0,0,59974,28,0,49.32
Lincoln Acres,California,United States,91950,Partial College,Skilled Manual,F,M,1,1,1,2,56264,47,1,48.29
Lille,Nord,France,59000,Bachelors,Professional,F,M,1,2,0,0,136475,30,1,52.45
Coronado,California,United States,92118,Bachelors,Skilled Manual,F,M,1,2,1,2,54059,48,1,50.4
Issaquah,Washington,United States,98027,Bachelors,Management,F,S,1,3,0,0,108140,33,1,54.74
Paris,Seine (Paris),France,75012,Bachelors,Skilled Manual,M,M,0,0,0,1,60274,28,1,48.23
Novato,California,United States,94947,Bachelors,Manual,M,S,0,0,0,0,29801,34,0,55.24
Woodland Hills,California,United States,91364,Graduate Degree,Clerical,F,S,1,1,1,1,83596,60,0,54.56
Cergy,Val d'Oise,France,95000,High School,Skilled Manual,F,S,0,2,0,0,59390,18,1,52.91
Duesseldorf,Hessen,Germany,40605,Partial College,Skilled Manual,F,S,0,0,0,0,58012,29,1,51.3
Downey,California,United States,90241,Bachelors,Manual,F,S,0,0,0,0,33359,28,0,50.44
Los Angeles,California,United States,90012,Partial College,Management,F,M,1,2,0,1,104724,40,1,51.66
Roubaix,Nord,France,59100,Bachelors,Clerical,M,M,1,3,0,3,87069,58,1,50.48
Bellflower,California,United States,90706,Partial College,Management,M,M,0,2,0,0,102692,18,1,51.24
Newport Beach,California,United States,92625,Bachelors,Management,F,M,1,3,0,0,104010,35,1,50.87
Bellflower,California,United States,90706,Partial High School,Skilled Manual,F,S,0,2,0,0,60998,16,1,48.52
Berkeley,California,United States,94704,Graduate Degree,Management,M,S,0,2,0,0,110440,28,0,51.77
Burien,Washington,United States,98168,Graduate Degree,Professional,M,M,1,1,1,1,133364,25,1,56.46
Bellflower,California,United States,90706,Partial College,Clerical,F,S,1,2,0,1,78879,49,1,53.96
Saint-Denis,Seine Saint Denis,France,93400,Bachelors,Management,F,S,1,2,0,0,103376,35,1,50.56
Metz,Moselle,France,57000,High School,Skilled Manual,M,M,1,1,0,2,54675,47,0,54.74
Bellflower,California,United States,90706,High School,Skilled Manual,M,S,1,1,1,1,60664,50,1,53.09
Berlin,Saarland,Germany,12311,Partial College,Clerical,F,M,1,2,0,2,82555,46,1,50.63
Bellflower,California,United States,90706,Bachelors,Manual,M,S,1,0,0,1,33844,55,0,48
Lynnwood,Washington,United States,98036,Bachelors,Skilled Manual,F,S,0,1,0,0,61831,32,0,49.03
Langley,British Columbia,Canada,V3A 4R2,Partial College,Manual,M,M,1,0,1,2,25898,36,0,49.69
Newcastle,New South Wales,Australia,2300,Bachelors,Management,F,S,1,2,0,0,112674,33,1,55.24
Bellingham,Washington,United States,98225,Graduate Degree,Management,F,M,1,3,0,0,112667,26,1,51.6
Courbevoie,Hauts de Seine,France,92400,High School,Skilled Manual,M,S,1,2,0,1,60682,52,0,50.94
Seaford,Victoria,Australia,3198,Bachelors,Professional,F,M,1,0,0,2,135853,56,1,52.81
Orleans,Loiret,France,45000,Partial College,Clerical,F,S,0,3,0,0,86742,28,0,51.9
El Cajon,California,United States,92020,Partial College,Management,F,M,0,0,0,0,108046,18,0,50.92
Perth,South Australia,Australia,6006,Bachelors,Management,M,M,1,0,1,2,107855,53,1,52.63
Brisbane,Queensland,Australia,4000,Bachelors,Manual,F,S,0,1,0,0,29997,27,0,45.8
North Ryde,New South Wales,Australia,2113,High School,Skilled Manual,M,M,1,0,1,2,56810,47,1,61.82
Saint-Denis,Seine Saint Denis,France,93400,Partial High School,Skilled Manual,M,M,1,2,1,2,54995,49,1,49.37
Cliffside,British Columbia,Canada,V8Y 1L1,High School,Skilled Manual,M,M,1,1,2,2,58932,36,1,55.96
Springwood,New South Wales,Australia,2777,Bachelors,Skilled Manual,F,S,0,1,0,0,54207,38,0,48.7
Darlinghurst,New South Wales,Australia,2010,Bachelors,Manual,F,S,0,0,0,0,26040,33,0,49
Burbank,California,United States,91502,High School,Clerical,M,M,1,1,1,2,82560,49,1,52.12
Milwaukie,Oregon,United States,97222,Partial College,Skilled Manual,F,M,0,1,0,0,62055,22,0,48.55
Beaverton,Oregon,United States,97005,High School,Clerical,M,S,1,3,1,1,82207,50,1,53.04
El Cajon,California,United States,92020,Partial College,Clerical,F,S,1,3,0,0,76623,34,1,53.69
Beaverton,Oregon,United States,97005,Bachelors,Skilled Manual,M,S,1,2,1,1,61280,49,1,49.81
Burien,Washington,United States,98168,Partial College,Management,M,M,1,2,1,2,112063,41,1,55.69
Santa Cruz,California,United States,95062,High School,Clerical,M,M,1,2,1,2,81140,39,1,58.32
Paris,Seine (Paris),France,75007,Graduate Degree,Manual,F,S,0,1,0,0,27915,28,0,46.53
National City,California,United States,91950,High School,Skilled Manual,F,M,1,0,0,2,57624,42,1,49.01
Colma,California,United States,94014,Graduate Degree,Professional,F,S,1,1,0,0,129582,25,0,53.93
Gloucestershire,England,United Kingdom,GL7 1RY,High School,Skilled Manual,F,S,1,2,0,0,54595,42,0,47.47
Oak Bay,British Columbia,Canada,V8P,Partial College,Skilled Manual,F,M,1,2,2,2,58849,37,1,48.43
Portland,Oregon,United States,97205,Partial College,Skilled Manual,F,S,0,1,0,0,59108,33,0,48.96
Cheltenham,England,United Kingdom,GL50,High School,Manual,F,M,0,1,0,0,26356,20,0,44.33
Oregon City,Oregon,United States,97045,Graduate Degree,Manual,F,M,1,1,2,2,34603,56,1,49.51
North Ryde,New South Wales,Australia,2113,Bachelors,Clerical,M,S,0,2,0,0,82702,29,1,54.06
Lincoln Acres,California,United States,91950,Partial College,Management,M,M,1,2,0,2,110258,45,1,60.16
Les Ulis,Essonne,France,91940,Graduate Degree,Management,F,S,1,2,0,0,103796,36,1,53.99
Lemon Grove,California,United States,91945,Bachelors,Clerical,M,S,1,1,0,1,87805,55,0,53.78
Chula Vista,California,United States,91910,Bachelors,Professional,F,S,1,2,0,0,136689,31,1,52.22
Sedro Woolley,Washington,United States,98284,Partial College,Manual,F,M,1,0,2,2,26147,43,0,44.72
Bremerton,Washington,United States,98312,High School,Skilled Manual,M,M,0,1,0,0,61725,16,0,49.02
Seaford,Victoria,Australia,3198,Bachelors,Professional,M,S,1,1,0,0,137157,25,0,55.16
Brisbane,Queensland,Australia,4000,Graduate Degree,Professional,F,M,1,0,1,1,127832,26,1,51.77
Kirkland,Washington,United States,98033,Bachelors,Skilled Manual,F,S,0,0,0,0,58637,24,0,51.85
San Carlos,California,United States,94070,Graduate Degree,Management,F,M,1,1,0,0,108417,23,0,51.02
Port Orchard,Washington,United States,98366,Bachelors,Skilled Manual,F,S,0,2,0,0,59373,31,0,52.1
Beverly Hills,California,United States,90210,Graduate Degree,Professional,M,M,1,2,0,0,130211,26,1,51.76
Wokingham,England,United Kingdom,RG41 1QW,Bachelors,Management,F,M,1,0,1,2,111672,51,1,55.84
Melbourne,Victoria,Australia,3000,Bachelors,Management,M,S,0,2,0,0,108099,28,1,53.09
Hervey Bay,Queensland,Australia,4655,Bachelors,Professional,M,M,1,3,0,2,137543,29,1,52.3
Everett,Washington,United States,98201,Partial College,Skilled Manual,M,S,1,1,0,0,58997,39,1,57.79
Lebanon,Oregon,United States,97355,Partial College,Skilled Manual,F,M,1,1,1,2,55087,35,1,51.99
Seattle,Washington,United States,98104,High School,Clerical,F,S,0,3,0,0,85130,17,1,51.48
Lakewood,California,United States,90712,Bachelors,Manual,F,S,0,0,0,0,32155,27,1,50.72
Metchosin,British Columbia,Canada,V9,Bachelors,Clerical,M,S,0,1,0,0,83189,29,1,50.09
Vancouver,British Columbia,Canada,V7L 4J4,Partial College,Management,F,M,1,2,0,2,108075,34,0,51.19
Colma,California,United States,94014,Partial College,Manual,M,S,0,1,0,0,34761,19,1,47.81
Lille,Nord,France,59000,Partial High School,Skilled Manual,M,M,0,0,0,0,61675,21,0,49.29
Beaverton,Oregon,United States,97005,Bachelors,Professional,F,S,1,1,0,0,133275,31,0,54.4
Berlin,Hessen,Germany,14129,Bachelors,Management,M,M,1,3,1,2,112871,30,1,55.7
Milwaukie,Oregon,United States,97222,High School,Clerical,F,M,1,1,0,2,83317,35,0,49.52
Cambridge,England,United Kingdom,CB4 4BZ,High School,Manual,M,M,1,1,1,2,36559,48,1,52.84
Redwood City,California,United States,94063,High School,Manual,M,S,0,1,0,0,33879,20,1,49.9
Saint Germain en Laye,Yveline,France,78100,High School,Manual,M,S,0,0,0,0,32095,18,1,49.71
Oakland,California,United States,94611,Partial College,Clerical,M,S,1,3,0,0,83200,46,1,57.24
Palo Alto,California,United States,94303,Bachelors,Manual,F,M,1,1,0,2,28301,51,0,45.77
Warrington,England,United Kingdom,WA1,High School,Skilled Manual,M,M,1,1,1,2,56786,33,1,55.58
Renton,Washington,United States,98055,Bachelors,Clerical,F,S,0,1,0,0,84223,25,0,52.74
Springwood,New South Wales,Australia,2777,Partial College,Clerical,M,M,0,2,0,0,87263,24,1,50.69
National City,California,United States,91950,Graduate Degree,Skilled Manual,M,S,0,1,0,0,57316,23,0,51.68
Bellingham,Washington,United States,98225,Partial College,Management,M,M,1,2,0,1,107509,32,1,59.3
Berlin,Hessen,Germany,12171,Partial College,Clerical,M,S,0,2,0,0,85251,24,1,51.59
Concord,California,United States,94519,Graduate Degree,Skilled Manual,F,M,1,2,1,2,58239,56,1,51.61
Langford,British Columbia,Canada,V9,Partial College,Clerical,M,S,1,2,0,0,78733,38,1,57.51
Duesseldorf,Hessen,Germany,40434,Graduate Degree,Skilled Manual,M,S,0,1,0,0,52796,27,0,49.97
Port Macquarie,New South Wales,Australia,2444,Bachelors,Clerical,F,M,1,1,0,1,79943,28,0,49.91
Saint-Denis,Seine Saint Denis,France,93400,High School,Manual,F,S,0,0,0,0,33503,36,1,48.6
Beaverton,Oregon,United States,97005,Bachelors,Management,M,S,1,3,0,0,113050,30,1,52.5
Coronado,California,United States,92118,Graduate Degree,Management,M,S,1,1,0,0,103493,38,1,56.84
Warrnambool,Victoria,Australia,3280,Partial College,Skilled Manual,F,S,1,1,0,0,53291,40,0,52.78
Colomiers,Garonne (Haute),France,31770,Bachelors,Clerical,F,M,1,2,1,1,86292,34,1,53.12
Cranbourne,Victoria,Australia,3977,Partial College,Manual,M,M,1,1,0,2,28453,36,0,46.94
Woodburn,Oregon,United States,97071,High School,Skilled Manual,M,S,1,0,0,0,56263,42,0,51.38
Newcastle,New South Wales,Australia,2300,Bachelors,Management,M,S,0,3,0,0,113436,22,0,54.75
Novato,California,United States,94947,Bachelors,Skilled Manual,F,M,1,2,0,2,53180,49,1,47.92
Gold Coast,Queensland,Australia,4217,Bachelors,Manual,F,S,0,0,0,0,33033,32,0,47.22
Walla Walla,Washington,United States,99362,Partial College,Manual,F,S,0,1,0,0,28227,33,0,46.5
Burbank,California,United States,91502,Graduate Degree,Professional,M,M,1,0,1,1,131430,25,1,54.56
Frankfurt,Bayern,Germany,91480,Partial College,Skilled Manual,F,S,1,1,0,1,52896,52,0,49.1
Walla Walla,Washington,United States,99362,High School,Manual,M,S,0,1,0,0,36176,42,1,55.41
Port Orchard,Washington,United States,98366,Partial College,Clerical,F,S,0,2,0,0,78198,22,1,52.35
Silverwater,New South Wales,Australia,2264,Bachelors,Clerical,M,M,1,0,2,2,79214,43,1,58.67
Mühlheim,Hamburg,Germany,63151,Bachelors,Manual,F,M,1,0,0,2,27381,37,0,45.34
Santa Monica,California,United States,90401,Bachelors,Skilled Manual,M,M,1,2,0,2,56941,32,1,50.59
Port Orchard,Washington,United States,98366,Bachelors,Clerical,M,S,0,0,0,0,81227,29,0,50.73
Warrington,England,United Kingdom,WA3 7BH,Partial College,Management,M,S,0,0,0,0,105310,21,1,55.27
Beverly Hills,California,United States,90210,Bachelors,Manual,M,M,0,0,1,1,30721,33,1,49.66
Burlingame,California,United States,94010,Graduate Degree,Clerical,F,S,0,1,0,0,77341,28,0,53
London,England,United Kingdom,E17 6JF,Graduate Degree,Professional,F,M,1,1,0,1,130885,27,0,52.53
Milton Keynes,England,United Kingdom,MK8 8DF,Partial High School,Manual,M,S,0,0,0,0,34463,32,0,48.42
Chula Vista,California,United States,91910,Bachelors,Skilled Manual,M,S,0,1,0,0,53926,33,0,53.36
Perth,South Australia,Australia,6006,Partial College,Management,F,M,1,2,0,2,111305,36,0,50.9
High Wycombe,England,United Kingdom,HP10 9QY,Partial High School,Manual,M,S,0,1,0,0,27673,25,0,47.92
Goulburn,New South Wales,Australia,2580,Bachelors,Skilled Manual,F,S,0,1,0,0,59353,31,0,48.99
Lane Cove,New South Wales,Australia,1597,High School,Clerical,F,M,1,3,1,2,82735,50,1,52.6
Chatou,Yveline,France,78400,High School,Skilled Manual,F,S,0,2,0,0,59698,24,0,50.53
Woodburn,Oregon,United States,97071,Bachelors,Skilled Manual,M,S,0,2,0,0,51853,38,1,49.65
Burlingame,California,United States,94010,Partial High School,Manual,M,M,1,1,0,2,31355,39,0,48.37
North Sydney,New South Wales,Australia,2055,High School,Manual,F,S,0,1,0,0,36140,41,0,47.38
York,England,United Kingdom,Y024 1GF,Partial College,Clerical,F,S,0,2,0,0,76832,20,0,54.21
Tacoma,Washington,United States,98403,Graduate Degree,Clerical,M,M,1,2,1,1,88150,30,1,55.73
Geelong,Victoria,Australia,3220,Bachelors,Clerical,M,S,0,0,0,0,84406,25,1,49.72
Bury,England,United Kingdom,PE17,Partial College,Manual,M,S,0,1,0,0,29857,30,0,49.26
Dresden,Hessen,Germany,1071,Partial High School,Skilled Manual,F,S,0,0,0,0,61885,25,1,51.27
London,England,United Kingdom,SW8 4BG,Partial College,Clerical,F,M,1,0,1,2,85940,43,1,50.09
Lakewood,California,United States,90712,Graduate Degree,Professional,M,M,1,3,0,1,134190,30,1,60.25
Solingen,Nordrhein-Westfalen,Germany,42651,Partial High School,Manual,F,S,0,1,0,0,26350,25,0,49.26
Münster,Saarland,Germany,48001,Partial College,Management,M,M,1,2,0,2,104806,39,0,52.22
North Sydney,New South Wales,Australia,2055,Graduate Degree,Professional,F,S,1,1,1,1,136444,54,0,53.34
Issaquah,Washington,United States,98027,High School,Skilled Manual,M,M,1,1,1,2,56977,36,1,55.93
Lavender Bay,New South Wales,Australia,2060,Bachelors,Skilled Manual,M,S,0,0,0,0,57865,31,0,60.42
Stoke-on-Trent,England,United Kingdom,AS23,Bachelors,Clerical,M,M,1,3,1,1,80475,34,1,53.12
Walla Walla,Washington,United States,99362,High School,Manual,M,S,0,0,0,0,26381,17,0,44.95
Walla Walla,Washington,United States,99362,Graduate Degree,Skilled Manual,M,M,1,2,1,2,59983,43,1,52.9
Sooke,British Columbia,Canada,V0,Graduate Degree,Professional,M,S,0,3,0,0,129024,23,1,56.44
Novato,California,United States,94947,Partial College,Clerical,M,M,0,3,0,0,84651,19,0,49.75
West Covina,California,United States,91791,Bachelors,Skilled Manual,M,S,0,1,0,0,59905,39,1,58.75
Darmstadt,Hessen,Germany,64283,High School,Clerical,F,S,1,2,0,0,79973,42,1,51.95
Berlin,Saarland,Germany,14197,Partial High School,Skilled Manual,F,S,0,1,0,0,56625,24,0,51.9
Kirkland,Washington,United States,98033,Bachelors,Skilled Manual,F,M,1,1,1,2,61394,56,1,50.89
